review,label
- the usual crap they sell to people because they think they are idiots .,0
i quickly ate and left to make my movie .,0
the renaissance pittsburgh hotel is fabulous !,1
not here .,0
the food was great from start to finish .,1
"to be fair , our assigned server was very nice .",0
every stylist makes you feel at home .,1
we 'll definitely be back !,1
this place has the most heavenly smell !,1
it 's almost been _num_ hours and i 'm still waiting .,0
his poor management skills and rude behavior ruined our holiday .,0
"especially multiple employees , hostesses , waitresses , and bus boys .",0
she knew i would hate it but just did n't want to go alone .,0
it is pretty expensive .,1
the spicy feta dip is delicious and we love their pita chips !,1
we loved it from the moment we stepped in to when we left .,1
food is excellent and the service staff is friendly .,1
so disappointed with this place .,0
i went down on my lunch break for a quick mani .,0
this place is terrible .,0
highly recommended .,1
we 've had too many problems to list all of them .,0
terrible value but the steaks were good .,0
good food.,1
"it 's close to my neighborhood , hence the _num_ star .",0
great food and great place for breakfast meal .,1
best tortillas in pittsburgh - made in the store !,1
you can tell he genuinely cares about his customers and their concerns .,1
the office is quaint and unassuming .,1
i would absolutely not return to this salon .,0
the staff is always pleasant and quick .,1
so good and definitely better than going to a capital grille .,1
"nothing updated , nothing new , nothing fresh .",0
"the food was okay , but worst service ever .",0
the place smells of smoke .,0
"each time , i ask myself , `` why am i going back ? ''",0
great place for late dinner after work .,1
"the place is quiet , to be sure .",1
so we called back and asked for our money back .,0
the cashier had no idea what we were asking for .,0
"instead of caramelized onions , they added raw onions .",0
ca n't recommend this place enough !,1
avoid this crap hole at all costs .,0
it took us forever to find but well worth it .,1
does n't matter what time we go .,0
very bad purchase experience .,0
"i no longer have to carry around my terrible , terrible secret .",0
"finally , _num_ mins later ... that 's one hour , folks .",0
it was downhill from there .,0
what a disappointment .,0
there are better options .,0
"overpriced , shitty food and drinks .",0
"excellent variety , hearty taste , and pleasurable service .",1
the mango chicken is delicious .,1
the flowers were lovely .,1
"i ordered mine , chocolate , and cried vanilla .",0
there were _num_ customers ahead of me and _num_ ladies behind the counter .,0
this is probably the best chinese supermarket i have found in pittsburgh so far .,1
i love ice cream and this place is just the best !,1
all i can really say is that she was a real ball of sunshine .,0
"love the place , love the stylist .",1
authentic german fare .,1
waiter clearly did not know what he was talking about .,0
what kind of italian food has no garlic ?,0
got a meatball hoagie today .,1
great pizza !,1
this experience was not worth the beautiful dresses .,0
"yeah , awesome .",1
puts it into a glass and serves it to someone else .,0
tim is awesome .,1
"finally , overall the prices were way too high .",0
"overall , shopping there is a poor experience .",0
if any of the employees would smile i would die from shock .,0
"it is usually always crowded , call ahead for take out !",1
incredible pizza .,1
"the brunch comes with a cocktail , an appetizer and then your meal .",1
the membership fee is well worth the price for this excellent local resource .,1
"but , the food is fantastic .",1
"no thanks , much better candy shops around the city .",0
friendly service .,1
this comes served with french fries and coleslaw and hot sauce served on top .,1
but it was n't during peak hours .,0
it 's my favorite coffee shop because of the coffee !,1
tough experience to beat .,1
i just paid the bill and we left and went to eat n park .,0
love this place !,1
and it is definitely worth the wait .,1
"overall , a disappointing dining experience .",0
i enjoyed the hot dog .,1
they screwed up a club sandwich & fries .,0
it is better and the real thing .,1
tandoori chicken does n't taste like one etc .,0
good portions and great people .,1
i did n't care .,0
there was no one filling up water .,0
"the beds at the westin are very comfy , as are the pillows .",1
bartenders are the best also .,1
great place to watch a game and get a bite to eat .,1
"now we also got pizza , it was amazing !",1
the food was amazing .,1
the food is consistent with mcdonald 's everywhere and the restaurant clean .,1
i love when places surprise you !,1
delicious aroma of coffee welcomed us inside .,1
"meh , i 've experienced better is an understatement .",0
"ugh , my coworker spread open the spinach leaf .",0
"oh , i love cilantro on my tacos !",1
"each time , he 's done it while i waited .",1
construction junction is one of my favorite places in the city .,1
try house of lee instead .,0
pizza sounded amazing .,1
"love , love , love the calamari .",1
i do n't know how this place has stayed in business for so long .,0
also the curly fries and hoagies are delicious .,1
and the ranch dipping sauce is delightful !,1
sit back down and i 'll take your order . '',0
great value for what we paid .,1
the haircut was $ _num_ .,0
but as long as they got their money ; they could give a crap .,0
"for some odd reason , local aaa offices dont post their phone number online ?",0
"very , very cool bar louie !",1
"that said , i counted only _num_ dishes with any vegetables at all .",0
that 's an automatic star in this dead city .,0
man ... really bad from start to finish .,0
"if answer is yes , then maybe this place is for you .",0
great deal and fantastic food .,1
"the food is simple , great tasting , and affordable !",1
i do recommend it for your routine hardware needs .,1
and they are rude .,0
and that its all the owners fault about the price .,0
probably one of the best martini bars anywhere in the area .,1
horrible customer service !,0
i am _num_ and my sisters are younger than i am .,0
"spectacular byob , do n't miss it !",1
olive or twist is a nice place to chill after a busy work week .,1
the people all look like they hate their jobs and treat the customers accordingly .,0
( the italian hoagies are great quality ) .,1
i did n't finish it .,0
"fun personality , quick at getting you through your order , and super nice .",1
"after further consideration , this store does not deserve a _num_ star review .",0
every entree was a winner !,1
"high quality , fresh meat at fair prices .",1
what a great find .,1
i see this being a regular spot after our rounds of golf at mt .,1
the waiter timed it perfectly on each course .,1
"great for couples , families , solo and for hangovers .",1
fake italian at its finest .,0
"and despite the enormous traffic , the place is always clean and well stocked .",1
would definitely recommend it for a special occasion and great meal out .,1
but you talk about a team for all seasons and all reasons !,1
"nice people , go , you will enjoy it .",1
if you want a friendly atmosphere and delicious food then this is your place .,1
"on a scale of bad to good , it was kind of meh .",0
i especially love the cheese selection and bulk olives .,1
"our entrees , dessert and coffee all came out at different times .",0
karaoke is a great time .,1
"freshly made , and you can taste that it is .",1
it was also virtually tasteless .,0
i 've made much better at home .,0
weekend brunch was great vegan comfort food .,1
i hate writing a less than stellar review of a business .,0
service was excellent !,1
same great donuts as always ( and a lot brighter inside !,1
"alas , the bisque tasted like wheat paste .",0
"the food here is outstanding , and the beer is damn cheap .",1
disgusting .,0
so disappointed .,0
great place for breakfast .,1
this has been a favorite for years .,1
fantastic food .,1
worst part ?,0
"also , parking is a big problem .",0
but the positives stop there .,0
bacon does n't take that long to cook .,0
"if they did n't , that would be fine we 'd call someplace else .",0
why did n't i have to show some email to get the free treatment ?,0
"the gyro meat was cut fresh from the cone , and spiced very well .",1
we sat outside on the patio and it was just beautiful .,1
this is a good chinese place !,1
been here plenty of times with my group and we enjoyed it every time .,1
wondered into this place looking for some mixed drinks .,0
always give the special a shot .,1
my alfredo was tasteless .,0
very fair portion sizes .,1
you will love it .,1
good pizza for a decent price !,1
"the server was quite pleasant and efficient , which is normally the case .",1
the steak was tough and tasteless .,0
those expectations kind of fell flat .,0
"if you are ever in pittsburgh , eating here is a must !",1
i loved looking at the decor in lidia 's .,1
this was a nice hotel .,1
she then rings me up .,0
was there for over _num_ hours because service was so incredibly slow .,0
i very highly recommend this place .,1
"so when i got back to the office , i went online and checked .",0
never going back .,0
"after what seemed like forever , my husband got up to find a server .",0
everyone was so nice with us .,1
i got nowhere until i asked that a count of the register receipts .,0
"also , the view is great .",1
my expectations for mcdonalds are t rarely high .,0
terrible experience !,0
ash trays all over the bar .,0
they have the best almond pastries as well .,1
the crust is hard but taste good .,1
very sad to find that donuts are made the day before .,0
"both emily and kim are polite , friendly , and professional .",1
there was also no pineapple chutney .,0
at 10pm an improv comedy group showed ... you can imagine the energy .,1
it is food deserving of the gods .,1
the ham was extremely large and juicy .,1
highly disappointing .,0
the food here is ok but not worth the price .,0
the restaurant is rather large with lots of seating and a pool table .,0
when the food arrived it was mediocre at best .,0
"then again , we were in pittsburgh , so it 's a given .",0
great hot dogs .,1
she is also amazing at color changes and cuts !,1
"though the food was adequate , it 's not the same .",0
i thought this hotel was very nice .,1
"the place is a historic landmark , and the decor suits the laid-back atmosphere .",1
they were fresh and service was good .,1
"they had to be cooked prior to us ordering , or even getting there .",0
the sauce is very forgettable and watery .,0
extremely slow service !,0
i 'm sure they do but i had to spit mine out .,0
"if you really hate someone , you should take them to this restaurant .",0
just this last episode that has to deal with an inspection has me annoyed !,0
pittsburgh is known for their worst transportation !,0
"nothing is bad , per se , just not really impressive .",0
pickles gone wild !,1
after they microwaved it it was barely fit to eat .,0
"but seriously , there are still restaurants that allow smoking ?",0
this would be an awesome theater to see an action packed movie .,1
the equipment would often break down and never get fixed .,0
warm and toasted .,1
"_num_ beers on tap , good food , and most the bartenders are awesome .",1
rude .,0
"if i could give signature desserts _num_ stars , i would .",0
wow .,1
delicious tacos !,1
thanks to all of you !,1
"but , our waitress was helpful , and our food came out pretty quickly .",0
the service was decent to boot .,1
woman takes off my toe nail polish .,0
pittsburgh has many good steakhouses .,1
a voice from downstairs says `` i 'm down here . '',0
i do n't know how people keep coming here .,0
the chocolate lava cake is a nice new addition .,1
dave 's barber shop is good old fashion at its finest !,1
absolutely worth it for the money .,1
best place in pittsburgh for soft serve .,1
but it seemed like i was absolutely bothering the staff this morning .,0
"since i moved here , i 've been shopping at this michael 's location .",1
thank you so much !,1
the only thing worse than the food is the service .,0
for my first fish fry it was a great experience .,1
sent it back and had no time to wait for another dish .,0
i get the same meal constantly and pay different prices everytime .,0
the girlfriends sushi meal was a bit over priced for a lunch menu .,0
the rest of the staff is very laid-back and approachable .,1
the chicken was like tasteless rubber .,0
definitely worth a visit while in the strip district !,1
friendly .,1
treated badly .,0
i expected a nice tangy flavor to compliment the meat but was disappointed .,0
the gyro 's are great and on mondays you get free fries with them .,1
the mocha latte is my favorite and the croissant sandwiches are awesome too !,1
the one i had at this salon was among the worst .,0
this is a nice spot for vietnamese food .,1
great start to our trip to pittsburgh !,1
pasta trio had the worst sauce i have ever tasted .,0
it 's so good and spicy .,1
so completely frustrating .,0
food was delicious- all three of us had pasta dishes with salad .,1
great local watering hole with excellent wings !,1
i had a cake batter martini which was tasty !,1
jerry still rocks .,1
legends is that nice neighborhood restaurant that i probably forget about too often .,1
the sushi was n't rolled tight either .,0
nothing special .,0
but last night it took _num_ hrs to get a burger .,0
this place has gone down hill fast !,0
how can a seafood place serve terrible seafood ?,0
"yuk , i said that 's disgusting people have to eat that .",0
it 's never horrible .,0
"once again , primanti 's delivers ... delicious food at great prices .",1
the service was really good and our waitress was super .,1
drinks are amazing and you get a good buzz off of just one martini .,1
"there were several things that got me annoyed , one after another .",0
"overall , this is a great hotel for the location , comfort and price .",1
within twenty minutes i started to have symptoms and was sick for two days .,0
that was n't to be .,0
great range of foods .,1
good deal .,1
"same guy , same attitude .",0
"today , half the lettuce i had on my caesar salad was rotten .",0
this is perhaps the best mechanic shop in pittsburgh .,1
linda did not call .,0
their hoagies are also very good .,1
i can not recommend this salon .,0
"for $ _num_ , it was n't worth it .",0
"she did n't rush us , and made good wine recommendations .",0
"firstly , the food had no flavor .",0
thanks but probably wo n't be back .,0
the espresso is made right with an excellent machine .,1
still has that good old basement decor .,1
the staff was extremely friendly and helpful .,1
we arrived early for our reservation and they were able to seat us .,1
"service is what you 'd expect , pretty good for an overworked crew .",1
it was all kind of meh to me .,0
i ordered two orders of soup hot and sour and egg drop .,0
done in less than _num_ hours .,0
love sitting outside and watching the older italian guys play cards .,1
paid for the lousy $ _num_ beer and got up .,0
"from there , it takes them another _num_ minutes to fill one prescription .",0
amazing hot dogs .,1
poor customer service and they were rude .,0
will definitely stay here again the next time we are in pittsburgh .,1
extremely poor service .,0
"once seated , i practically had to beg for a wine list .",0
here for trivia night on tuesday night .,0
i love this place .,1
there were _num_ of us on a beautiful sunday afternoon .,0
definitely going back !,1
artsy little alternative cafe diner with good food and nice wait staff .,1
it was like having a standard old boring burger .,0
i still serve as a cat foster from time to time .,1
she claimed they did n't deliver to his address which was _num_ mile away .,0
the broccoli in it was overcooked and the shrimp were undercooked .,0
the food was not bad but it was not good .,0
so great .,1
"so , i will never be back .",0
"so , i settled on the hummus appetizer .",0
very poor service and food .,0
not keeping with the the _num_ star yelp review that brought us here .,0
both were so bland i could have prepared a better version at home .,0
bad idea .,0
what you get at pino 's is great service and excellent food .,1
my big issue is that the employees stand directly outside and smoke .,0
we ordered drinks and she was unhappy that we did .,0
$ _num_ for extreme attention to detail and excellent finish .,1
* the owner failed to mention the pita bread was extra .,0
very happy and will come back !,1
horrible service .,0
awesome staff !,1
i 've tried and tried to give this place a chance .,0
wo n't go back or recommend it .,0
he and the staff are also extremely friendly .,1
but did nothing to make up for it .,0
the service is always friendly and helpful .,1
"very nice hotel in a great , convenient location .",1
"baby on board , we walked in and waited to be greeted .",0
the wine list is nice and the atmosphere is generally upscale but friendly .,1
their wraps and sandwiches are great !,1
mom and i both ordered the fish sandwich with mac n cheese .,0
this is my new place !,1
my boyfriend 's bison burger was not that tasty either he sent it back .,0
friendly staff .,1
just make sure you make a reservation !,1
went in to have a slow leak fixed on a tire .,0
amazing little place that i will _num_ % go to again .,1
it 's so cold - like sit with your coat on cold .,0
i use to pass by this place all the time .,0
"well , papa j 's has officially priced itself out of our budget .",0
this is actually a very good starbucks .,1
i had one of the breakfast specials and it was fantastic .,1
"the staff is very friendly , the .",1
the locals here were so nice .,1
i really do n't get the hype as the food was average at best .,0
we had the same experience when we walked in .,0
poor service .,0
the food is always great and the prices are super affordable .,1
one minute later all of our food was delivered cold .,0
large take out pepperoni pizza filled a delicious hole on a really cold night !,1
i start work at _num_ am .,0
the beer is cheap .,0
my son loves this place and has finally discovered the art room .,1
lucky for us that we also discovered papa j 's -- we loved it !,1
"_num_ star for food , gross !",0
authentic german cuisine .,1
the remaining slices got tossed in the garbage .,0
we all really enjoyed our experience and i definitely want to go back soon !,1
the location was very convenient and the hotel is very pretty inside .,1
place is ok but a little uncomfortable .,0
only another _num_ minutes until he brought one martini over .,0
the staff was n't very helpful .,0
avoid this place .,0
a cool shop - definitely a place to buy home decor items or gifts .,1
waited _num_ minutes for two glasses of wine .,0
very bad food and overpriced .,0
service is impeccable and attentive .,1
the food was gross and i usually would n't say that about a place .,0
did they think they could get away with it and we would n't notice ?,0
i can not stress how great this place is and how talented julie was !,1
well definitely visit again .,1
the place was totally dusty and there was no ac .,0
the pizza bagels were soggy yet burned .,0
absolutely love the mocha latte .,1
no wonder it is for sale .,0
"as it were , i was n't impressed .",0
"yes , just like a bad date , we were done in _num_ minutes .",0
terrible .,0
"no matter what , tim has a fair price and gets the job done .",1
maybe i 'm just salty about the wait .,0
"most definitely , i 'm a fan of this joint .",1
"overcooked and dry , dry , dry .",0
owner is very friendly .,1
the banana oatmeal pancakes were really special .,1
"and they have a huge selection of beers , both imported and local microbrews .",1
"no big deal , i would have been happy to help out .",0
"therefore , that left junior stylists to wash and dry my hair .",0
such a fun place !,1
may not ever go back .,0
i will definitely go back for their pizza .,1
worst grocery store i 've ever been to .,0
"seriously , all the people here have major attitude problems and need an adjustment .",0
there are other better pizza places in the area .,0
great desserts .,1
i refuse to patronize any business that only accepts cash .,0
super friendly and excellent customer service .,1
"otherwise , the food was solid and the spice levels were good .",1
"altogether , spent $ _num_ and left with a great disappointment !",0
"although it 's a little small , it 's really amazing !",1
the staff was very friendly and helpful doing the estimate .,1
many thanks to the team .,1
fresh italian dishes that surprised us with flavor .,1
ugh .,0
the potato pancakes are great .,1
do n't waste your money !,0
but it was quite underwhelming .,0
good food .,1
"friendly staff , great local place .",1
not a fan of the french bread .,0
too much dressing in a salad that did n't even fill the bowl .,0
the crab cakes were so disgusting my husband and i had to switch meals .,0
`` it 's not coming off !,0
"great prices , huge portions and friendly environment .",1
highly recommend them .,1
i enjoy the karaoke nights here .,1
this used to be one of our favorite restaurants .,0
"the train is clean and comfortable , and the staff is friendly and attentive .",1
they are pretty high .,1
they 're very honest and reasonably priced here .,1
are you kidding me ?,0
"if you 're in the area , its definitely worth a try .",1
very disappointing .,0
just the right venue for that .,1
the chicken was slimy and not many pieces at that .,0
we love this place !,1
we enjoyed the smell and taste was good .,1
they have the best prices downtown and always do a great job !,1
this is the best out of the downtown location au bon pains .,1
"they stock lovely asian veggies , sauces , meats , and desserts .",1
wait staff is nice thought !,1
the food is n't something to rave about but it 's edible .,0
the bouquet i got was beautiful .,1
"i 'll stick with trader joe 's for my alternative market , thank you !",0
beautiful views and lots of variety of length and layout of holes .,1
the staff and bartenders are always nice .,1
do not go here for waxing !,0
i love everything about this place.,1
but a good stop _num_ a sweet treat .,1
i could n't even taste garlic in it .,0
last time i ever set foot in that place .,0
the soup was delicious and it sure did n't taste canned .,1
"i 'm sure there 's still a lot of room for improvement , however .",0
its the best in my opinion .,1
this was done _num_ years ago .,0
it was almost empty and twice we had to have someone find our waitress .,0
their baked goods are simple and delicious .,1
a round of patron margaritas were horrible .,0
not happy about the new staff .,0
"friendly , kind and super nice .",1
my favorite restaurant in pittsburgh .,1
a great place to go for german food !,1
no wonder it is _num_ % empty but still makes people wait .,0
the steaks are also good and the price is reasonable .,1
but it was the attitude of the owner that turned me off the establishment .,0
turns out the ingredients are a lot better than they appear .,1
"based on my experience , i wo n't be returning anytime soon .",0
it all could have been so easily avoided .,0
getting a seat near the grill was an added bonus for the experience .,1
"good portion , price .",1
enjoy ... .,1
so i decide to try a coffee tree for once .,0
stay here a few times a year and love it .,1
"also , the toppings were not greatly blended , just rather sprinkled .",0
only reason i would go back is speed .,0
what was originally an average lowe 's has turned into lowe 's hell .,0
the bread was warm and fresh .,1
just a poorly laid out store which is showing it 's age .,0
it 's sad .,0
it 's that good .,1
very unappetizing and i was unable to continue eating .,0
i was sadly mistaken .,0
that is completely ridiculous .,0
we will not be back .,0
"if you 're famous , why is there never anyone in your restaurant ?",0
but was a winning season too much to ask for ?,0
it 's just not that good .,0
i was greatly disappointed by this restaurant .,0
"the place has definitely changed over the years , becoming a very pricey venue .",1
the food is excellent .,1
i would not order this again .,0
just checked it out for the first time .,0
i love their side salad ... .,1
"i wish i could give it more stars , but really it was disappointing .",0
the pasta dish would have been very good had it been seasoned enough .,0
was going to try the buffalo pizza .,0
"it sits in the warmer cases , and looks `` crusty '' .",0
i thought the food was absolutely delicious and fresh .,1
laurie did wonders on my hair !,1
i will not go back .,0
best rates and deals .,1
the croissant breakfast sandwiches are great too !,1
this place barely uses any flavor other than salt and msg .,0
the crust was hard and flavorless .,0
wrong .,0
all it would have take n was a new pizza and wings .,0
"we both had the filet mignon medium rare , perfect !",1
"the cook was perfect , delicious , and met the mark .",1
"zero flavor , zero filling , frozen wan tons ?",0
i will stay here again .,1
sign is blank and all fixtures from the store have been removed .,0
"it is homey , great service , good food and outstanding prices .",1
the chicken was fatty and just tasted like it came from their freezer .,0
"just get in , buy your great pizza , and go enjoy it !",1
"a completely clueless one , that 's what kind .",0
he sandwich is huge and delicious .,1
this is a fantastic hotel .,1
"yeah , do n't order from here , unless it 's for dumplings .",0
the best !,1
the pretzel bites are a must for an appetizer !,1
a place to introduce your kids to .,1
"why should it , those computers are always making mistakes .",0
delivery and take out .,1
always worth stopping in .,1
"clean rooms , comfy bed , nice bathroom .",1
"the food is consistently amazing , and portions are huge .",1
so i ordered _num_ for myself and my gf .,0
it did n't taste fresh at all .,0
seemed like a great neighborhood restaurant and we will most definitely be going back .,1
we used a coupon from the paper for a _num_ topping _num_ cut sicilian .,0
"carries everything from seafood , produce , spices , and snacks .",1
"bitter and sweet , with a slight tang .",1
my friend got the _num_ pastas which were all amazing and the tiramisu .,1
absolutely delicious and the lobster tail was huge .,1
and their other noodle dishes have always been delicious .,1
it 's definitely americanized but it 's really good .,1
"i do n't have time for this , i 'm very busy '' .",0
the acoustics are amazing in this building and the building itself is beautiful !,1
i also tried their burger and chicken sandwiches and they 're good as well .,1
its got a really cool vibe and the prices are n't bad .,1
the place always smells good !,1
sandwiches are consistantly good .,1
but michelle oh my is this woman amazing .,1
hotdogs / french fries were very good .,1
probably one of the worst places i have been to recently .,0
the place is the most gorgeous shopping in the city .,1
everything was cooked perfectly .,1
"i however , ordered the steak and cheese pita and was extremely disappointed .",0
"unfortunately , that was the high point of this service .",0
is n't even that great at the bar .,0
affordable and fun .,1
i ordered some turkey wrap with a fruit salad for a side .,0
it was clear to me this burger was not fresh .,0
"they always welcome drop ins , however i prefer to make an appointment .",1
getting on and off is confusing .,0
the bread is great and fresh baked daily !,1
"quick service , amazing coffee , nice vibe .",1
great people .,1
friendly staff .,1
"joe , our server , was awesome and super friendly .",1
"deciding not to get it , i placed it on a near by shelf .",0
perfect size portions .,1
the head massage was painful and rough .,0
i will not recommended anyone to ever come here .,0
best soft serve in the burgh !,1
"also , their wine bottles for $ _num_ are a great deal .",1
stop and pick up a delicious cake !,1
you can feel free to order pizza .,1
she however did not offer to comp the meal .,0
this place is amazing from top to bottom .,1
i will not return to new china .,0
none at all .,0
love this place !,1
my first visit was to the one in south hills .,0
this restaurant is fun .,1
a chocolate paradise - everyone will find something they love !,1
tasty food and friendly service !,1
place sucks .,0
i hate that place and everyone in it .,0
highly recommend .,1
we will not be back .,0
i just saw superior donuts !,1
i highly recommend the gelato .,1
my problem is that the hotel double charged me for my stay .,0
will not go eat there again !,0
"i ate one slice , and gave the rest away .",0
"the servers are rude and slow , and the food is awful .",0
"second , the rolls here are sloppy .",0
the selections change frequently but it was always delicious and extremely satisfying .,1
we immediately left and frankly its not worth going back again .,0
the selection and quality of shoes is wonderful .,1
olive garden seems like fine dining compared to this place .,0
i think i chose wrong .,0
"well , this place is beyond horrible .",0
they even deliver !,1
"really excellent french toast , just like my dad used to make .",1
decent service .,1
great service .,1
the vets and techs are fantastic .,1
worst eggs benedict experience i 've ever had .,0
if i could give zero stars i would .,0
waitress never apologized .,0
"i mean , so so bad .",0
"either way , i do n't understand the hype surrounding this place .",0
there are better places to eat for the same money .,0
she just sat there and read a magazine .,0
scallops with potatoes and corn hash and some lovely mushrooms as well .,1
it 's happened everytime i go and it 's really unprofessional .,0
excellent wings !,1
cheesesteak was so good !,1
the marinara sauce to dip it in is amazing as well .,1
wine selection is good .,1
i would recommend going here .,1
poor service and food .,0
my `` squash '' side was lacking squash .,0
this is one delicious sandwich .,1
wan 's parking lot was jam packed and he ate with _num_ other friends .,0
she said there was no time to order another dress .,0
we are fans and recommend stopping by if you are in the neighborhood .,1
their pizza is actually really good .,1
so extremely rude .,0
i would not suggest this bar to anyone .,0
everyone is so inviting .,1
do not take your car to midas !,0
there are better hibachi options in the area .,0
"the wonton soup was watery , and the wontons were inedible .",0
a good store to pick up your east asian cooking ingredients .,1
find a new chef quickly .,0
this is a nice little joint .,1
this is the best restaurant in pittsburgh .,1
it 's truly a unique space .,1
"after waiting way too long to even be acknowledged , my order was taken .",0
"the staff is always friendly , as well .",1
it was super busy and only _num_ employees were making food .,0
i 'm always always always made to feel like i 'm stupid ( seriously ?,0
this is typically my go to dish here and it 's very good .,1
"this place is the worst , and i have never even stepped inside !",0
i love this place .,1
i decided to play it safe and ordered the broccoli in garlic sauce .,0
"we had mac and cheese bites as an app , so good !",1
"moo shu has plenty of cabbage , hardly any meat .",0
very disappointing experience .,0
service is lacking and food is mediocre .,0
it 's definitely entertaining and fun .,1
"this place is dead , but they just do n't know it yet .",0
i love a good sugar coated dessert .,1
just so bland !,0
i especially loved the caramel apple in the fall !,1
would definitely recommend .,1
avoid .,0
"it was dry , not at all crispy , and had no flavor .",0
cute atmosphere and courteous staff .,1
seriously my favorite pizza in the 'burgh !,1
"if i could give this place less than one star , i would .",0
definitely recommend .,1
very disappointing easter dinner .,0
thank you yelp !,1
and i 'm in love .,1
